laneID,tLinkID,time,speed,dis,RVID
79403,26,227.2,16.667,-1,184
79402,26,228.08,18.75,-1,185
79403,25,231.6,15,-1,186
79402,26,233.04,75,-1,187
79403,26,235.08,25,-1,188
79402,26,235.36,25,-1,189
79402,26,236.08,16.667,-1,190
79401,26,237.84,25,-1,191
79402,26,238.04,15,-1,192
79403,25,238.2,13.636,-1,193
79401,25,239.28,25,-1,194
79403,25,239.96,18.75,-1,195
79402,25,240.16,16.667,-1,196
79403,25,240.72,18.75,-1,197
79402,25,242.56,16.667,-1,198
79403,25,243.6,13.636,-1,199
79401,25,244.68,13.636,-1,200
79402,25,244.72,16.667,-1,201
79402,25,245.44,15,-1,202
79401,26,246,18.75,-1,203
79401,26,247.2,12.5,-1,204
79403,26,249.36,13.636,-1,205
79402,26,249.84,30,-1,206
79402,25,251.64,15,-1,207
79403,26,252.56,21.429,-1,208
79402,25,254.08,11.538,-1,209
79403,25,255.52,18.75,-1,210
79401,26,256.04,16.667,-1,211
79402,25,256.44,18.75,-1,212
79403,25,257.08,16.667,-1,213
79402,25,258.08,18.75,-1,214
79401,26,259.08,13.636,-1,215
79402,25,259.4,15,-1,216
79403,26,260.28,50,-1,217
79401,25,260.92,18.75,-1,218
79401,26,262.36,13.636,-1,219
79402,25,263.56,12.5,-1,220
79403,26,263.72,15,-1,221
79403,25,264.84,15,-1,222
79401,26,265.16,15,-1,223
79402,26,266.72,21.429,-1,224
79401,26,267,25,-1,225
79402,26,267.92,10,-1,226
79403,26,268.04,13.636,-1,227
79403,25,268.72,16.667,-1,228
79401,25,269.12,18.75,-1,229
79401,26,269.92,10.714,-1,230
79402,26,271.84,30,-1,231
79403,25,272,18.75,-1,232
79403,26,273.8,16.667,-1,233
79402,26,275.08,50,-1,234
79401,25,275.48,50,-1,235
79403,25,276.76,21.429,-1,236
79402,26,277.4,16.667,-1,237
79401,25,277.84,18.75,-1,238
79401,26,279.72,15,-1,239
79402,25,279.8,21.429,-1,240
79403,25,283,15,-1,241
79402,26,283.4,10.714,-1,242
79401,25,283.72,15,-1,243
79402,25,287.76,18.75,-1,244
79401,26,288.08,30,-1,245
79402,25,290.08,37.5,-1,246
79402,26,291.32,11.538,-1,247
79403,25,291.6,21.429,-1,248
79401,26,298.08,16.667,-1,249
79403,25,298.36,15,-1,250
79401,26,299.12,18.75,-1,251
79402,26,299.32,10.714,-1,252
79403,25,300.48,21.429,-1,253
79403,26,303.72,15,-1,254
79401,26,305.88,13.636,-1,255
79402,25,311.6,10.714,-1,256
79403,25,311.64,25,-1,257
79402,26,316.6,12.5,-1,258
79401,26,322.68,21.429,-1,259
79402,25,323,10.714,-1,260
79403,26,323.48,12.5,-1,261
79402,26,324.52,18.75,-1,262
79403,26,328.48,13.636,-1,263
79402,26,330.96,12.5,-1,264
79403,26,332.56,15,-1,265
79401,25,334.92,21.429,-1,266
79403,26,335.24,13.636,-1,267
79402,26,344.08,15,-1,268
79403,25,345.28,13.636,-1,269
79401,26,347.96,16.667,-1,270
79402,25,349.36,21.429,-1,271
79403,26,349.48,16.667,-1,272
79401,25,351.08,30,-1,273
79402,25,351.56,21.429,-1,274
79403,25,351.64,37.5,-1,275
79403,26,352.6,21.429,-1,276
79403,25,361.88,21.429,-1,277
79402,26,363.04,10.714,-1,278
79401,25,363.6,9.375,-1,279
79403,26,363.8,25,-1,280
79401,26,364.8,15,-1,281
79402,26,366,12.5,-1,282
79403,26,366.24,13.636,-1,283
79402,25,367.36,15,-1,284
79401,26,367.52,12.5,-1,285
79401,25,368.96,13.636,-1,286
79403,26,369.2,15,-1,287
79401,25,369.84,15,-1,288
79403,26,370.32,10.714,-1,289
79402,25,370.48,16.667,-1,290
79401,26,370.84,15,-1,291
79401,26,373.92,16.667,-1,292
79402,25,374.12,13.636,-1,293
79403,26,375.12,15,-1,294
79402,26,375.8,12.5,-1,295
79401,25,376,12.5,-1,296
79401,25,377.96,12.5,-1,297
79403,25,380.8,13.636,-1,298
79402,25,380.96,18.75,-1,299
79401,25,382.72,16.667,-1,300
79403,26,386.44,15,-1,301
79402,26,386.48,15,-1,302
79402,26,390.4,18.75,-1,303
79403,26,390.6,18.75,-1,304
79401,25,391,16.667,-1,305
79402,25,393.12,16.667,-1,306
79401,26,395.2,21.429,-1,307
79402,25,396.96,15,-1,308
79401,25,397.48,15,-1,309
79402,26,400.16,8.8235,-1,310
79401,25,401.28,25,-1,311
79403,25,404.2,16.667,-1,312
79401,25,404.96,15,-1,313
79402,26,406.28,13.636,-1,314
79403,25,406.8,12.5,-1,315
79401,26,407.12,16.667,-1,316
79402,26,407.4,16.667,-1,317
79403,25,408.08,37.5,-1,318
79401,25,408.68,25,-1,319
79403,25,409.04,21.429,-1,320
79402,25,409.24,15,-1,321
79403,25,410.36,30,-1,322
79403,26,411.44,16.667,-1,323
79402,26,412.4,21.429,-1,324
79402,25,413.52,15,-1,325
79402,25,414.92,13.636,-1,326
79403,25,415.52,25,-1,327
79401,26,416.04,25,-1,328
79403,25,417.72,18.75,-1,329
79402,26,418.48,18.75,-1,330
79401,25,420.36,15,-1,331
79402,26,421.08,10.714,-1,332
79402,25,423.6,25,-1,333
79403,25,424.24,13.636,-1,334
79402,26,427.4,15,-1,335
79402,25,429.76,16.667,-1,336
79401,25,430.2,16.667,-1,337
79403,25,433.96,15,-1,338
79402,25,434.24,15,-1,339
79403,25,441.92,16.667,-1,340
79402,25,443.16,13.636,-1,341
79403,25,443.44,18.75,-1,342
79402,26,446.4,15,-1,343
79403,25,446.6,16.667,-1,344
79401,25,449.76,18.75,-1,345
79402,26,454.16,16.667,-1,346
79403,26,454.88,16.667,-1,347
79401,25,455.12,21.429,-1,348
79402,25,457.4,30,-1,349
79403,25,458.2,18.75,-1,350
79401,25,459.2,15,-1,351
79402,26,464.24,16.667,-1,352
79402,25,466.48,21.429,-1,353
79403,25,468.24,16.667,-1,354
79401,25,469.6,16.667,-1,355
79403,26,469.84,16.667,-1,356
79402,25,470.16,25,-1,357
79401,25,471.72,21.429,-1,358
79403,26,473.08,25,-1,359
79402,25,473.6,11.538,-1,360
79401,26,473.64,21.429,-1,361
79403,25,476.32,13.636,-1,362
79402,26,477.68,16.667,-1,363
79403,25,481.36,21.429,-1,364
79402,26,481.76,21.429,-1,365
79403,26,482.04,16.667,-1,366
79403,26,484.16,16.667,-1,367
79403,25,488.16,15,-1,368
79402,26,488.2,25,-1,369
79402,26,490.6,16.667,-1,370
79403,25,491.28,18.75,-1,371
79402,25,491.88,5.7692,-1,372
79402,25,492.6,18.75,-1,373
79403,25,494.76,18.75,-1,374
79402,25,495.36,21.429,-1,375
79402,26,496.68,21.429,-1,376
79401,25,497.08,8.8235,-1,377
79402,25,497.6,13.636,-1,378
